VOLTAGE,LOCATION
9.98,OLD
10.26,OLD
10.05,OLD
10.29,OLD
10.03,OLD
8.05,OLD
10.55,OLD
10.26,OLD
9.97,OLD
9.87,OLD
10.12,OLD
10.05,OLD
9.8,OLD
10.15,OLD
10,OLD
9.87,OLD
9.55,OLD
9.95,OLD
9.7,OLD
8.72,OLD
9.84,OLD
10.15,OLD
10.02,OLD
9.8,OLD
9.73,OLD
10.01,OLD
9.98,OLD
8.72,OLD
8.8,OLD
9.84,OLD
9.19,NEW
9.63,NEW
10.1,NEW
9.7,NEW
10.09,NEW
9.6,NEW
10.05,NEW
10.12,NEW
9.49,NEW
9.37,NEW
10.01,NEW
8.82,NEW
9.43,NEW
10.03,NEW
9.85,NEW
9.27,NEW
8.83,NEW
9.39,NEW
9.48,NEW
9.64,NEW
8.82,NEW
8.65,NEW
8.51,NEW
9.14,NEW
9.75,NEW
8.78,NEW
9.35,NEW
9.54,NEW
9.36,NEW
8.68,NEW
