Gene ID,FULL-DARK,TR-LIGHT,TR-DARK
slr2067,-0.00561739,1.409889744,-1.28568673
slr1986,-0.683723515,1.830965023,-0.687230207
ssr3383,-0.254681057,-0.797935484,-0.397185943
sll0928,-0.187116093,-1.209008494,-1.186182108
slr0335,-0.206201172,1.714035766,-0.730286288
slr1459,-0.534774318,2.141564728,-0.331744088
sll1326,-0.062912825,1.036226957,0.303924052
slr1329,-0.851776845,-0.214900945,0.445449755
sll1327,0.6358752,1.426079114,-0.136637736
sll1325,-0.698661543,1.931044818,-0.248200726
slr1330,-0.641367843,-0.309003753,0.336092443
sll1324,-0.449005548,0.260436011,1.679920502
sll1323,-0.5534733,-0.280833893,0.249472677
ssl2615,-0.510018622,1.351902085,1.106831421
sll1322,-0.582690182,-0.090443293,0.285347874
sll0934,-0.450466459,-0.266276275,-0.42065161
slr0436,0.152420807,0.202258279,1.445113917
slr1838,-0.549991337,1.379671386,0.653098721
sll1029,1.288770292,-1.254140459,-1.11099696
sll1030,-0.558747737,2.20668651,-0.592308693
sll1031,-0.950556476,-0.932989106,-0.240832026
sll1578,-0.760647933,1.261292767,-1.016762838
sll1577,-0.79221915,0.625558851,-0.938720021
sll1580,-0.881072834,0.954906689,-1.13668945
sll1579,-0.829329591,1.468680839,-0.735896833
ssl3093,-0.84947582,-0.933096765,-0.30879278
slr1878,-0.284095239,0.01178047,-0.951568227
sll1051,-0.248288749,2.178659539,-0.209285746
slr2051,-0.576461832,0.158229196,-0.838184713
sll1471,-0.503333392,-0.29952322,-0.92209976
sll1899,0.221688219,-0.893966816,0.807585116
slr1137,-0.503288412,0.00290346,1.194021801
slr2082,-0.617487605,-0.815694829,-0.948712529
slr2083,-0.865793858,-0.067903727,1.544215997
slr1138,1.155153304,0.165945685,-0.468045746
slr1379,-0.106604326,0.01195716,0.198632482
sll1245,-0.966624338,0.287232218,1.884931
slr0051,0.224132181,0.574684576,0.155841361
slr1347,-0.374504083,-1.008195529,1.960886551
sll0248,-0.194464487,-1.511909387,-0.095157805
ssl0452,1.451017382,0.349651881,0.02024776
ssl0453,0.455545722,-1.061757103,0.540980837
slr1687,0.527986555,-1.552459646,-0.570629997
slr0851,0.231975506,-1.284316061,-0.065415726
slr1743,-0.80917412,0.453350909,-0.235623069
sll0519,0.40918111,-1.209824518,1.263570884
sll0223,-0.066337967,-1.659964137,0.258081509
slr1279,0.120500523,-1.411709731,0.007639419
slr2007,-0.752279641,1.448852314,0.600244393
slr0331,1.254261735,-0.86593784,-0.099149891
slr1291,-1.39563007,0.288205434,-0.278144451
sll1732,-1.34527006,1.121064577,0.511669944
slr0844,-0.414186354,1.603235847,0.677516334
slr2009,0.668103263,-0.254375535,0.405580706
sll0521,0.143253623,-1.462121463,0.016017889
slr0261,-0.858561488,0.336256923,-0.781262487
sll0520,0.453761105,-1.741107876,-0.30402746
slr1281,0.283442839,-0.707087707,0.478329007
sll1317,-0.038152479,-0.841210263,0.914807587
slr0342,-0.80304149,0.613967363,-1.147558266
sll1182,-0.372072728,-0.502843068,-0.636484745
sll1316,-0.011512984,0.435593795,0.292081592
slr0343,-1.280425792,-0.165038519,-1.075706397
ssl0020,-0.687587715,0.523007681,-0.437313739
slr1828,-0.03314955,-1.534414464,0.151938698
sll1382,-0.561468277,-0.835036474,0.319157527
slr0150,-0.633741083,-0.41780305,-0.10557686
smr0010,-0.791805835,-1.164167628,0.282065737
slr1643,-0.561842679,2.159113525,-0.606922796
sll1796,0.551683466,-0.394604243,0.016347908
smr0003,-0.727641072,-0.73456478,0.713582893
slr1834,-0.751756783,-0.595268644,-0.542512336
slr1835,-0.788082411,1.035405246,-0.48485125
ssl0563,-0.234644269,-0.390142363,-0.770804971
ssr2831,-1.000537176,1.742660676,-0.492727191
smr0004,-0.474395791,0.836047455,-0.303990254
sml0008,-0.920432941,0.542888544,-0.620663052
sll0629,0.254561561,-0.158818262,-1.033437739
ssr0390,-1.869044967,0.702389505,-0.047743028
slr1655,-0.645301018,1.840489989,-0.451859007
slr1181,-0.841648825,-0.984744585,0.78587624
slr1311,-0.920700816,0.992242343,-0.972604901
sll1867,-0.056556129,-0.713720884,-0.868215273
sll0851,-0.694477959,-0.694885141,-0.93200269
slr0927,-0.76132323,0.610117811,-1.25745545
ssr3451,-0.492573004,-0.256042564,-0.405243172
smr0006,-0.290518959,2.221922117,-0.522465781
slr1280,-0.666284727,-0.571801293,-0.047618365
ssl2598,0.184262578,-1.098767585,0.067437387
sml0001,0.341973436,-1.51189212,1.524266723
smr0008,-0.458205543,-0.694540014,0.413387218
sml0005,0.751756602,-0.568573696,-0.405214381
smr0007,-0.254758169,-1.747386109,0.452481998
sml0003,0.315993243,1.480686365,0.635547312
smr0009,0.186984327,-1.289694274,0.196037649
sll0427,-0.490804683,-1.100243162,0.827922552
sll1194,0.060650778,-0.769690338,-0.502964281
sll0258,0.501712783,1.805729555,-0.715638929
sml0002,-0.25840666,2.188059202,-0.30115986
slr0009,-0.262576863,1.125875169,-1.228139812
sll1594,-0.067640536,1.954177567,-0.445213363
slr0012,-1.190060143,-0.445980365,0.144565324
slr0011,-0.977466243,1.734092483,-0.484891595
